POP,MLID,REP,TRT,TAGID,ID,LeafArea,Length,Branched,Single,Capitate,Peltate,BHeight,BLeaf,Imaged,Height,TotalLeafCount,LeafDamage,PerDamage,Alive,Flower #,Pod #,Biomass,Survival
8,68,2,550,8.68.2.2,710,,,,,,,,,,10.5,5,4,0.8,n,1,0,0.64,1
8,69,2,550,8.69.2.2,711,,,,,,,,,,7,4,2,0.5,n,0,0,0,0
8,70,2,550,8.70.2.2,712,,,,,,,,,,8,6,2,0.33333333,n,0,0,0.44,1
8,72,2,550,8.72.2.2,714,,,,,,,,,,11,5,4,0.8,n,0,0,0.44,1
8,74,2,550,8.74.2.2,716,,,,,,,,,,5,5,1,0.2,n,0,0,0,0
8,77,2,550,8.77.2.2,719,,,,,,,,,,8,4,3,0.75,n,0,0,0.41,1
8,79,2,550,8.79.2.2,721,,,,,,,,,,8.2,6,5,0.83333333,n,0,0,0.46,1
8,80,2,550,8.80.2.2,722,,,,,,,,,,11.5,4,1,0.25,n,0,0,0.88,1
8,82,2,550,8.82.2.2,724,,,,,,,,,,10,6,2,0.33333333,n,0,0,0.55,1
8,84,2,550,8.84.2.2,726,,,,,,,,,,9.5,7,3,0.42857143,n,0,0,0,0
1,2,3,550,1.2.3.2,774,,,,,,,,,,10.5,6,3,0.5,n,1,0,0.95,1
2,5,3,550,2.5.3.2,777,,,,,,,,,,8.5,7,5,0.71428571,n,0,0,0.29,1
3,16,3,550,3.16.3.2,788,,,,,,,,,,7,5,1,0.2,n,0,0,0.27,1
3,27,3,550,3.27.3.2,799,,,,,,,,,,0,0,0,,y,0,0,0,0
4,33,3,550,4.33.3.2,805,,,,,,,,,,10,5,2,0.4,n,0,0,0.9,1
4,34,3,550,4.34.3.2,806,,,,,,,,,,8.4,5,3,0.6,n,0,0,0.6,1
4,35,3,550,4.35.3.2,807,,,,,,,,,,8.2,7,5,0.71428571,n,0,0,0,0
4,36,3,550,4.36.3.2,808,,,,,,,,,,9,5,2,0.4,n,0,0,0.57,1
4,37,3,550,4.37.3.2,809,,,,,,,,,,10,6,2,0.33333333,n,0,0,0.86,1
4,38,3,550,4.38.3.2,810,,,,,,,,,,10,4,1,0.25,n,0,0,0.22,1
5,40,3,550,5.40.3.2,812,,,,,,,,,,4,3,0,0,n,0,0,0.05,1
7,53,3,550,7.53.3.2,825,,,,,,,,,,9.3,5,3,0.6,n,3,0,1.06,1
7,56,3,550,7.56.3.2,828,,,,,,,,,,8.1,5,3,0.6,n,0,0,0,0
8,57,3,550,8.57.3.2,829,,,,,,,,,,,,,1,,0,0,0,0
8,60,3,550,8.60.3.2,832,,,,,,,,,,9.8,4,4,1,n,0,0,0.38,1
8,66,3,550,8.66.3.2,838,,,,,,,,,,8.5,6,2,0.33333333,n,0,0,0.73,1
8,67,3,550,8.67.3.2,839,,,,,,,,,,9.1,6,2,0.33333333,n,0,0,0.71,1
8,68,3,550,8.68.3.2,840,,,,,,,,,,8,5,2,0.4,n,0,0,0.29,1
8,69,3,550,8.69.3.2,841,,,,,,,,,,11,7,4,0.57142857,n,0,0,0.67,1
8,72,3,550,8.72.3.2,844,,,,,,,,,,10,7,2,0.28571429,n,0,0,0.66,1
8,73,3,550,8.73.3.2,845,,,,,,,,,,5.2,4,4,1,n,0,0,0,0
